,State,District,Year,Season,Crop,Area,Production,Avg_Temperature,rainfall,Avg_windspeed,Avg_pressure,Avg_humidity,Avg_uvindex,sunhours,
108,Andhra Pradesh,SRIKAKULAM,2013,Kharif     ,Rice,199717,347108,30.75,366.03,12,1003.25,76,6.75,1183,
109,Andhra Pradesh,SRIKAKULAM,2013,Rabi       ,Rice,3425,8158,27.5,145.06,11.33,1012,68.66,6.83,482.5,
110,Andhra Pradesh,SRIKAKULAM,2014,Kharif     ,Rice,205485,434806,30.5,423.34,12.5,1004.5,74.25,7.25,1186,
111,Andhra Pradesh,SRIKAKULAM,2014,Rabi       ,Rice,4730,12866,27.16,152.28,12.33,1013,65.66,6.5,536.5,
112,Andhra Pradesh,SRIKAKULAM,2014,Whole Year ,Rice,210215,447672,29.25,,12.41,1008,68.25,7.33,,
113,Andhra Pradesh,VISAKHAPATANAM,2010,Kharif     ,Rice,110289,192378,29.25,456.63,13.75,1004.5,77,6.25,1239,
114,Andhra Pradesh,VISAKHAPATANAM,2010,Rabi       ,Rice,7262,9383,26.16,355.75,12,1010.16,72.16,6.5,482.5,
115,Andhra Pradesh,VISAKHAPATANAM,2011,Kharif     ,Rice,109505,166766,29.5,425.89,14.5,1004,73.5,6.75,1226.5,
116,Andhra Pradesh,VISAKHAPATANAM,2011,Rabi       ,Rice,2617,2973,26.16,93.01,12,1011.33,69,6.5,557,
117,Andhra Pradesh,VISAKHAPATANAM,2012,Kharif     ,Rice,98718,141562,29.25,547.99,16.25,1004.5,74.75,6.25,1191.5,
118,Andhra Pradesh,VISAKHAPATANAM,2012,Rabi       ,Rice,5046,10274,25.83,227.16,11.5,1011.83,68,6.5,519,
119,Andhra Pradesh,VISAKHAPATANAM,2013,Kharif     ,Rice,98637,171530,30.75,531.99,15.25,1003,75.25,6.5,1227.5,
120,Andhra Pradesh,VISAKHAPATANAM,2013,Rabi       ,Rice,6759,13126,27.33,232.05,12.83,1012,69.66,6.5,494,
121,Andhra Pradesh,VISAKHAPATANAM,2014,Kharif     ,Rice,98190,159755,30.51,430.66,15,1004.75,73,7,1228,
122,Andhra Pradesh,VISAKHAPATANAM,2014,Rabi       ,Rice,7238,18052,26.66,136.81,12,1013,67.66,6.33,530,
123,Andhra Pradesh,VISAKHAPATANAM,2014,Whole Year ,Rice,105428,177807,29.35,,14.33,1008,69.08,302.25,,
124,Andhra Pradesh,VIZIANAGARAM,2010,Kharif     ,Rice,126290,325213,28.5,320.12,8.5,1004.5,77.5,4.6,1218.5,
125,Andhra Pradesh,VIZIANAGARAM,2010,Rabi       ,Rice,7254,23452,25.5,179.28,8.93,1010.5,70.66,6.33,471.5,
126,Andhra Pradesh,VIZIANAGARAM,2011,Kharif     ,Rice,123491,265106,29,387.3,9.15,1004.75,72.5,6.75,1217.5,
127,Andhra Pradesh,VIZIANAGARAM,2011,Rabi       ,Rice,1078,2639,26,37.05,8.766,1011.833,68.18,6.33,558.5,
128,Andhra Pradesh,VIZIANAGARAM,2012,Kharif     ,Rice,119079,306509,28.5,398.23,10,1004.5,73.25,6.25,1177,
129,Andhra Pradesh,VIZIANAGARAM,2012,Rabi       ,Rice,6690,14310,26,125.26,8.7,1012,65.33,6.83,511,
130,Andhra Pradesh,VIZIANAGARAM,2013,Kharif     ,Rice,109271,270446,30.5,321.27,9.65,1003.75,73.33,6.75,1193.5,
131,Andhra Pradesh,VIZIANAGARAM,2013,Rabi       ,Rice,7507,20479,27.16,103.75,9.433,1012.166,67.77,6.83,484.5,
132,Andhra Pradesh,VIZIANAGARAM,2014,Kharif     ,Rice,119229,314526,30,372.88,9.75,1005,71.75,6.5,1200,
133,Andhra Pradesh,VIZIANAGARAM,2014,Rabi       ,Rice,5357,17314,27,90.81,9.183,1013.166,63.88,6.5,527,
134,Andhra Pradesh,VIZIANAGARAM,2014,Whole Year ,Rice,124586,331840,29.33,,10.133,1008.33,60.07,7,,
135,Andhra Pradesh,WEST GODAVARI,2010,Kharif     ,Rice,256147,558800,28.5,297.23,8.5,1004.3,77.5,5.75,1116,
136,Andhra Pradesh,WEST GODAVARI,2010,Rabi       ,Rice,200369,931515,26.16,170.57,8.76,1010.16,71.66,6.5,417.5,
137,Andhra Pradesh,WEST GODAVARI,2011,Kharif     ,Rice,240266,764242,28.75,279.43,10.25,1005,73.25,6.25,1093.5,
138,Andhra Pradesh,WEST GODAVARI,2011,Rabi       ,Rice,123519,544225,26.33,58.56,8.83,1011.66,68.66,6.16,488,
139,Andhra Pradesh,WEST GODAVARI,2012,Kharif     ,Rice,242832,482993,29,262.96,10.5,1004.75,70.75,6,1106.5,
140,Andhra Pradesh,WEST GODAVARI,2012,Rabi       ,Rice,179674,806377,27,111.98,9.16,1011.833,66.33,6.83,464,
141,Andhra Pradesh,WEST GODAVARI,2013,Kharif     ,Rice,240396,521419,30.25,297.67,10.5,1003.5,74,6.5,1060.5,
142,Andhra Pradesh,WEST GODAVARI,2013,Rabi       ,Rice,180223,820916,28,135.76,9.3,1011.63,69,7.16,417,417
